 BubbleSort threads: 1, Time: 67439743us; BubbleSort threads: 8, Time: 49207376us; BubbleSort threads: 8, Time: 48677545us;
0;1;1;
1;39;39;
2;43;43;
3;49;49;
4;54;69;
5;69;83;
6;78;121;
7;83;143;
8;109;193;
9;121;197;
10;126;220;
11;132;232;
12;141;272;
13;143;297;
14;177;307;
15;193;339;
16;197;347;
17;220;394;
18;232;406;
19;272;413;
20;297;496;
21;306;522;
22;339;533;
23;347;547;
24;388;552;
25;394;566;
26;406;595;
27;413;596;
28;465;600;
29;485;633;
30;496;637;
31;501;655;
32;506;676;
33;519;683;
34;522;687;
35;544;700;
36;547;727;
37;552;734;
38;566;771;
39;568;773;
40;575;809;
41;581;812;
42;595;859;
43;596;868;
44;600;879;
45;633;923;
46;636;923;
47;637;940;
48;655;945;
49;676;948;
50;683;964;
51;700;1007;
52;702;1009;
53;708;1073;
54;727;1105;
55;734;1108;
56;771;1112;
57;773;1130;
58;795;1148;
59;809;1193;
60;812;1204;
61;824;1240;
62;841;1278;
63;859;1305;
64;868;1310;
65;879;1363;
66;912;1408;
67;923;1415;
68;940;1439;
69;945;1488;
70;948;1531;
71;964;1571;
72;990;1584;
73;1007;1589;
74;1025;1605;
75;1060;1663;
76;1105;1678;
77;1108;1691;
78;1109;1692;
79;1112;1693;
80;1130;1694;
81;1148;1708;
82;1156;1733;
83;1157;1745;
84;1183;1780;
85;1187;1792;
86;1193;1798;
87;1204;1809;
88;1240;1813;
89;1243;1817;
90;1258;1824;
91;1278;1842;
92;1304;1852;
93;1310;1906;
94;1363;1908;
95;1363;1916;
96;1408;1935;
97;1414;1944;
98;1415;1956;
99;1444;1977;
100;1488;1985;
101;1531;1992;
102;1542;2000;
103;1584;2002;
104;1605;2005;
105;1610;2024;
106;1663;2046;
107;1666;2074;
108;1678;2104;
109;1691;2155;
110;1692;2179;
111;1693;2189;
112;1694;2195;
113;1708;2270;
114;1733;2276;
115;1745;2299;
116;1780;2301;
117;1792;2307;
118;1798;2362;
119;1809;2367;
120;1813;2380;
121;1824;2388;
122;1842;2392;
123;1852;2428;
124;1874;2428;
125;1906;2461;
126;1908;2500;
127;1916;2512;
128;1935;2541;
129;1944;2579;
130;1956;2614;
131;1977;2652;
132;1992;2675;
133;2000;2684;
134;2002;2719;
135;2005;2732;
136;2013;2733;
137;2019;2792;
138;2046;2813;
139;2052;2841;
140;2074;2874;
141;2104;2909;
142;2112;2921;
143;2155;2947;
144;2179;2954;
145;2182;2962;
146;2189;2962;
147;2195;2964;
148;2198;2965;
149;2210;2974;
150;2246;3059;
151;2266;3063;
152;2269;3083;
153;2270;3115;
154;2276;3147;
155;2278;3148;
156;2278;3154;
157;2300;3176;
158;2301;3182;
159;2307;3196;
160;2325;3202;
161;2362;3229;
162;2388;3255;
163;2393;3257;
164;2394;3307;
165;2400;3349;
166;2415;3365;
167;2418;3400;
168;2428;3406;
169;2434;3415;
170;2461;3479;
171;2475;3485;
172;2495;3558;
173;2500;3603;
174;2512;3634;
175;2513;3666;
176;2541;3666;
177;2551;3679;
178;2579;3721;
179;2614;3728;
180;2639;3737;
181;2650;3740;
182;2652;3816;
183;2695;3816;
184;2712;3831;
185;2719;3840;
186;2732;3907;
187;2733;3935;
188;2746;3938;
189;2749;3953;
190;2765;3960;
191;2792;3969;
192;2813;3972;
193;2814;3978;
194;2815;3988;
195;2823;4009;
196;2823;4047;
197;2841;4116;
198;2874;4116;
199;2909;4125;
200;2909;4136;
201;2921;4147;
202;2921;4156;
203;2927;4193;
204;2947;4203;
205;2953;4248;
206;2954;4249;
207;2964;4255;
208;2965;4274;
209;2974;4308;
210;2985;4313;
211;3022;4341;
212;3059;4357;
213;3066;4382;
214;3083;4383;
215;3094;4393;
216;3115;4424;
217;3147;4425;
218;3148;4471;
219;3148;4487;
220;3154;4496;
221;3182;4500;
222;3194;4533;
223;3196;4548;
224;3202;4557;
225;3204;4571;
226;3207;4573;
227;3211;4575;
228;3214;4576;
229;3229;4597;
230;3257;4679;
231;3267;4692;
232;3300;4692;
233;3307;4710;
234;3308;4712;
235;3340;4726;
236;3349;4734;
237;3365;4775;
238;3400;4786;
239;3415;4794;
240;3438;4818;
241;3441;4839;
242;3455;4862;
243;3479;4862;
244;3480;4900;
245;3537;4909;
246;3538;4938;
247;3545;4982;
248;3558;4992;
249;3603;5008;
250;3603;5016;
251;3625;5041;
252;3634;5051;
253;3660;5069;
254;3666;5090;
255;3666;5116;
256;3679;5127;
257;3680;5165;
258;3680;5204;
259;3681;5260;
260;3697;5275;
261;3721;5287;
262;3728;5293;
263;3737;5320;
264;3740;5335;
265;3755;5338;
266;3758;5375;
267;3831;5403;
268;3840;5416;
269;3840;5428;
270;3849;5432;
271;3849;5474;
272;3891;5474;
273;3900;5474;
